IP,Disk Utilization (%),Total Memory,Used Memory,Free Memory,Uptime (min),Disk Status,Memory Status,Uptime Status,Chrony Status
10.0.0.46,14,8192,430,7762,390,Pass,Pass,Pass,Pass
10.0.0.36,45,8192,6259,1933,599,Pass,Fail,Pass,Pass
10.0.0.174,96,2048,1053,995,1075,Pass,Pass,Pass,Pass
10.0.0.25,17,1024,376,648,1232,Pass,Pass,Pass,Pass
10.0.0.204,79,2048,89,1959,138,Pass,Fail,Pass,Pass
10.0.0.55,34,1024,923,101,814,Pass,Pass,Pass,Pass
10.0.0.139,2,1024,258,766,571,Fail,Pass,Pass,Pass
10.0.0.87,66,2048,676,1372,1167,Pass,Pass,Pass,Pass
10.0.0.37,99,1024,462,562,424,Pass,Pass,Pass,Pass
10.0.0.142,9,4096,2355,1741,898,Pass,Pass,Pass,Pass
10.0.0.32,86,1024,863,161,236,Pass,Fail,Pass,Pass
10.0.0.99,78,8192,1549,6643,554,Pass,Fail,Pass,Pass
10.0.0.132,51,8192,6189,2003,1320,Pass,Fail,Pass,Pass
10.0.0.132,1,1024,459,565,525,Pass,Pass,Pass,Pass
10.0.0.115,54,4096,1660,2436,573,Pass,Fail,Pass,Pass
10.0.0.79,60,2048,455,1593,1114,Pass,Pass,Pass,Pass
10.0.0.137,43,8192,5379,2813,276,Pass,Pass,Pass,Pass
10.0.0.163,19,8192,4677,3515,983,Pass,Pass,Pass,Fail
10.0.0.15,3,4096,634,3462,885,Pass,Fail,Pass,Pass
10.0.0.162,95,1024,81,943,223,Pass,Pass,Pass,Pass
10.0.0.254,86,4096,1262,2834,1309,Pass,Pass,Fail,Fail
10.0.0.102,49,2048,1926,122,1067,Fail,Pass,Pass,Pass
10.0.0.114,5,1024,527,497,433,Fail,Pass,Pass,Pass
10.0.0.12,60,4096,1595,2501,1084,Pass,Fail,Pass,Pass
10.0.0.155,20,4096,3682,414,879,Pass,Pass,Pass,Pass
10.0.0.114,62,2048,1855,193,217,Pass,Pass,Pass,Pass
10.0.0.162,13,1024,160,864,985,Pass,Pass,Pass,Pass
10.0.0.92,41,2048,1079,969,1017,Pass,Pass,Pass,Fail
10.0.0.200,68,8192,5326,2866,472,Pass,Pass,Pass,Pass
10.0.0.178,60,4096,1853,2243,751,Pass,Fail,Pass,Fail
10.0.0.130,30,8192,4210,3982,1431,Pass,Pass,Pass,Pass
10.0.0.229,90,2048,1207,841,1029,Pass,Pass,Pass,Fail
10.0.0.92,79,1024,386,638,423,Fail,Pass,Pass,Pass
10.0.0.80,98,2048,1023,1025,1144,Pass,Pass,Pass,Pass
10.0.0.110,62,4096,645,3451,492,Pass,Pass,Pass,Pass
10.0.0.200,84,4096,2255,1841,870,Pass,Pass,Pass,Pass
10.0.0.106,22,4096,2693,1403,882,Pass,Fail,Pass,Pass
10.0.0.122,7,1024,850,174,583,Pass,Fail,Pass,Fail
10.0.0.84,79,8192,971,7221,1178,Pass,Fail,Pass,Pass
10.0.0.2,24,8192,7494,698,803,Pass,Pass,Pass,Pass
10.0.0.226,91,4096,1314,2782,1437,Pass,Pass,Pass,Fail
10.0.0.215,72,1024,990,34,980,Pass,Pass,Fail,Pass
10.0.0.53,63,2048,1185,863,586,Pass,Fail,Pass,Pass
10.0.0.65,11,2048,375,1673,1174,Pass,Pass,Pass,Pass
10.0.0.147,60,4096,618,3478,1382,Pass,Fail,Pass,Pass
10.0.0.174,64,2048,1991,57,703,Pass,Fail,Pass,Fail
10.0.0.241,34,4096,538,3558,531,Fail,Fail,Pass,Pass
10.0.0.5,65,4096,2452,1644,885,Pass,Pass,Pass,Pass
10.0.0.206,34,8192,7335,857,440,Fail,Pass,Pass,Pass
10.0.0.22,97,8192,4657,3535,1248,Pass,Fail,Pass,Pass
10.0.0.49,28,4096,2408,1688,313,Pass,Pass,Pass,Pass
10.0.0.99,49,4096,2241,1855,518,Pass,Pass,Pass,Pass
10.0.0.184,85,8192,6994,1198,201,Pass,Pass,Pass,Pass
10.0.0.28,30,1024,198,826,124,Pass,Pass,Pass,Pass
10.0.0.50,37,2048,196,1852,451,Fail,Pass,Pass,Fail
10.0.0.114,81,4096,871,3225,251,Pass,Fail,Pass,Pass
10.0.0.209,5,2048,748,1300,1267,Pass,Pass,Pass,Pass
10.0.0.2,43,1024,223,801,282,Fail,Fail,Pass,Pass
10.0.0.36,45,4096,2449,1647,1439,Pass,Pass,Pass,Pass
10.0.0.197,22,2048,850,1198,574,Pass,Pass,Pass,Pass
10.0.0.186,78,8192,5816,2376,45,Fail,Pass,Pass,Pass
10.0.0.90,29,1024,718,306,247,Fail,Pass,Pass,Pass
10.0.0.200,8,2048,1166,882,454,Pass,Pass,Pass,Pass
10.0.0.114,12,4096,3842,254,1439,Fail,Pass,Pass,Pass
