IP,Disk Utilization (%),Total Memory,Used Memory,Free Memory,Uptime (min),Disk Status,Memory Status,Uptime Status,Chrony Status,Overloaded,Underworked,Predicted_Overloaded
10.0.0.90,64,8192,5768,2424,33,Fail,Pass,Pass,Pass,0,0,0
10.0.0.204,98,8192,429,7763,916,Fail,Pass,Pass,Pass,1,0,1
10.0.0.179,40,1024,305,719,559,Pass,Pass,Pass,Pass,0,0,0
10.0.0.171,39,2048,381,1667,1015,Pass,Pass,Pass,Pass,0,0,0
10.0.0.67,69,1024,143,881,1429,Pass,Fail,Pass,Pass,0,0,0
10.0.0.104,93,1024,703,321,697,Pass,Pass,Pass,Pass,1,0,1
10.0.0.12,59,8192,67,8125,216,Fail,Pass,Pass,Pass,0,0,0
10.0.0.232,3,4096,3810,286,1383,Pass,Pass,Fail,Pass,1,0,1
10.0.0.14,69,8192,197,7995,855,Pass,Pass,Fail,Pass,0,0,0
10.0.0.197,41,4096,724,3372,725,Fail,Pass,Fail,Fail,0,0,0
10.0.0.159,33,8192,6130,2062,210,Pass,Fail,Pass,Pass,0,0,0
10.0.0.159,35,2048,951,1097,122,Pass,Pass,Pass,Pass,0,0,0
10.0.0.209,13,2048,1678,370,1215,Pass,Pass,Pass,Pass,1,0,1
10.0.0.237,96,4096,1375,2721,1095,Fail,Pass,Pass,Pass,1,0,1
10.0.0.224,59,1024,697,327,843,Pass,Pass,Pass,Pass,1,0,1
10.0.0.152,38,8192,6022,2170,1114,Fail,Pass,Pass,Fail,0,0,0
10.0.0.210,7,1024,895,129,1327,Pass,Fail,Pass,Pass,1,0,1
10.0.0.14,15,8192,3617,4575,384,Fail,Pass,Pass,Pass,0,1,0
10.0.0.221,48,4096,2794,1302,162,Pass,Pass,Pass,Pass,0,0,0
10.0.0.230,78,2048,1848,200,1044,Pass,Pass,Pass,Fail,1,0,1
10.0.0.228,16,2048,164,1884,434,Pass,Pass,Pass,Fail,0,1,0
10.0.0.11,9,1024,641,383,269,Fail,Fail,Pass,Pass,1,0,1
10.0.0.94,38,1024,826,198,1334,Pass,Fail,Pass,Pass,1,0,1
10.0.0.30,26,8192,8066,126,1124,Pass,Fail,Pass,Fail,1,0,1
10.0.0.185,38,2048,261,1787,745,Fail,Pass,Pass,Pass,0,0,0
10.0.0.181,78,4096,983,3113,611,Fail,Pass,Pass,Fail,1,0,1
10.0.0.243,29,2048,2017,31,216,Pass,Pass,Pass,Pass,1,0,1
10.0.0.171,96,1024,256,768,268,Pass,Fail,Fail,Pass,1,0,1
